,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Population Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Department of Economic and Social Affairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Trends in International Migrant Stock: The 2015 Revision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Table 1 -  International migrant stock at mid-year by sex and by major area, region, country or area, 1990-2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,POP/DB/MIG/Stock/Rev.2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,December 2015 - Copyright © 2015 by United Nations. All rights reserved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Suggested citation: United Nations, Department of Economic and Social Affairs (2015). Trends in International Migrant Stock: The 2015 revision (United Nations database, POP/DB/MIG/Stock/Rev.2015).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sort
order","Major area, region, country or area of destination",Notes,Country code,Type of data (a),International migrant stock at mid-year (both sexes),,,,,,International migrant stock at mid-year (male),,,,,,International migrant stock at mid-year (female),,,,,,,,,,,,,,,,,,,,,,,,,
34,Congo,,178,B,129597,191635,305002,315238,419649,392996,64418,95822,152666,171420,228180,215274,65179,95813,152336,143818,191469,177722,,,,,,,,,,,,,,,,,,,,
35,Democratic Republic of the Congo,,180,B R,754194,1816963,744387,622869,588950,545694,363117,901379,365092,302290,284244,264445,391077,915584,379295,320579,304706,281249,,,,,,,,,,,,,,,,,,,,
36,Equatorial Guinea,,226,C,2740,3629,4517,6588,8658,10825,1465,1930,2394,3564,4734,5980,1275,1699,2123,3024,3924,4845,,,,,,,,,,,,,,,,,,,,
37,Gabon,,266,C,127980,152972,195571,214123,243992,268384,73053,87305,111616,122279,139458,153144,54927,65667,83955,91844,104534,115240,,,,,,,,,,,,,,,,,,,,
38,Sao Tome and Principe,,678,C,5582,4936,4365,3433,2700,2394,2953,2548,2212,1727,1352,1197,2629,2388,2153,1706,1348,1197,,,,,,,,,,,,,,,,,,,,
39,Northern Africa,,912,,2403200,2081640,1885650,1782054,1921613,2159048,1230643,1105808,1048954,1063304,1145515,1278467,1172557,975832,836696,718750,776098,880581,,,,,,,,,,,,,,,,,,,,
40,Algeria,,12,C R,273954,262032,250110,247537,244964,242391,150234,143696,137158,135748,134339,132930,123720,118336,112952,111789,110625,109461,,,,,,,,,,,,,,,,,,,,
41,Egypt,,818,B R,173708,166955,173452,274001,295714,491643,91928,88545,92205,158277,166071,265054,81780,78410,81247,115724,129643,226589,,,,,,,,,,,,,,,,,,,,
42,Libya,,434,C,457075,508041,567436,625212,683998,771146,242707,300906,368950,445597,489737,549153,214368,207135,198486,179615,194261,221993,,,,,,,,,,,,,,,,,,,,
43,Morocco,,504,C,54895,50360,53034,54379,70909,88511,29024,26264,27233,27543,35738,44390,25871,24096,25801,26836,35171,44121,,,,,,,,,,,,,,,,,,,,
44,Sudan,(3),729,B R,1402896,1053396,801883,541994,578363,503477,696385,525701,403048,275915,294782,254530,706511,527695,398835,266079,283581,248947,,,,,,,,,,,,,,,,,,,,
45,Tunisia,,788,C,37984,37867,36446,35040,43172,56701,18900,19045,18523,18000,22236,29351,19084,18822,17923,17040,20936,27350,,,,,,,,,,,,,,,,,,,,
46,Western Sahara,,732,I,2688,2989,3289,3891,4493,5179,1465,1651,1837,2224,2612,3059,1223,1338,1452,1667,1881,2120,,,,,,,,,,,,,,,,,,,,
47,Southern Africa,,913,,1392359,1191582,1222314,1439426,2203306,3435194,840899,714194,721814,837071,1276957,2040742,551460,477388,500500,602355,926349,1394452,,,,,,,,,,,,,,,,,,,,
48,Botswana,,72,C,27510,40168,57064,88829,120912,160644,16614,23517,32891,49695,66692,87873,10896,16651,24173,39134,54220,72771,,,,,,,,,,,,,,,,,,,,
49,Lesotho,,426,C R,8240,7204,6167,6290,6414,6572,4318,3827,3335,3402,3469,3558,3922,3377,2832,2888,2945,3014,,,,,,,,,,,,,,,,,,,,
50,Namibia,,516,B,120641,115372,134403,106274,102405,93888,63748,61310,72509,57034,55054,50687,56893,54062,61894,49240,47351,43201,,,,,,,,,,,,,,,,,,,,
51,South Africa,,710,B R,1163883,1003807,1001825,1210936,1943099,3142511,717227,611083,600032,712219,1135886,1882276,446656,392724,401793,498717,807213,1260235,,,,,,,,,,,,,,,,,,,,
52,Swaziland,,748,B R,72085,25031,22855,27097,30476,31579,38992,14457,13047,14721,15856,16348,33093,10574,9808,12376,14620,15231,,,,,,,,,,,,,,,,,,,,
53,Western Africa,,914,,4470503,5410742,5090860,5295046,5918053,6618514,2392339,2865785,2700930,2817734,3158865,3535629,2078164,2544957,2389930,2477312,2759188,3082885,,,,,,,,,,,,,,,,,,,,
54,Benin,,204,C B R,76212,104971,133730,171499,209267,245399,40092,55858,71624,93882,116139,137662,36120,49113,62106,77617,93128,107737,,,,,,,,,,,,,,,,,,,,
55,Burkina Faso,,854,B R,349657,434848,520039,596972,673904,704676,167836,209117,250399,285542,320684,335328,181821,225731,269640,311430,353220,369348,,,,,,,,,,,,,,,,,,,,
56,Cabo Verde,,132,B,8931,9979,11027,12700,14373,14924,4429,5091,5753,6523,7293,7547,4502,4888,5274,6177,7080,7377,,,,,,,,,,,,,,,,,,,,
57,Côte d'Ivoire,,384,C B,1816426,2076394,1994135,2010824,2095185,2175399,1011749,1150710,1104600,1113590,1160366,1204616,804677,925684,889535,897234,934819,970783,,,,,,,,,,,,,,,,,,,,
58,Gambia,,270,B,118123,150890,182514,181905,185763,192540,66306,82048,97138,96230,98086,101501,51817,68842,85376,85675,87677,91039,,,,,,,,,,,,,,,,,,,,
59,Ghana,,288,B,164851,252879,191601,304436,337017,399471,83030,127423,97279,159363,181558,217444,81821,125456,94322,145073,155459,182027,,,,,,,,,,,,,,,,,,,,
60,Guinea,,324,C R,403621,774505,560075,229611,205111,228413,201260,386537,279108,111738,100953,112583,202361,387968,280967,117873,104158,115830,,,,,,,,,,,,,,,,,,,,
61,Guinea-Bissau,,624,B R,15368,27961,20450,20736,21061,22333,7689,13833,10155,10298,10307,10826,7679,14128,10295,10438,10754,11507,,,,,,,,,,,,,,,,,,,,
62,Liberia,,430,B,94964,208563,151868,87188,99129,113779,53924,111647,82129,51183,56885,64879,41040,96916,69739,36005,42244,48900,,,,,,,,,,,,,,,,,,,,
63,Mali,,466,B R,160736,176187,189475,256797,336607,363145,82049,90871,97752,132244,172879,186111,78687,85316,91723,124553,163728,177034,,,,,,,,,,,,,,,,,,,,
64,Mauritania,,478,C R,111650,89562,57366,58119,84679,138162,57569,47015,31163,32588,48605,80230,54081,42547,26203,25531,36074,57932,,,,,,,,,,,,,,,,,,,,
65,Niger,,562,B R,115464,145999,122260,124461,126464,189255,55222,69751,58192,59170,60033,89731,60242,76248,64068,65291,66431,99524,,,,,,,,,,,,,,,,,,,,
66,Nigeria,,566,C R,456621,462999,487882,648019,920118,1199115,256166,258091,270211,357751,506367,657887,200455,204908,217671,290268,413751,541228,,,,,,,,,,,,,,,,,,,,
67,Saint Helena,(4),654,B,383,394,405,487,569,604,222,218,215,263,312,335,161,176,190,224,257,269,,,,,,,,,,,,,,,,,,,,
68,Senegal,,686,B R,270410,287654,231901,238298,256092,263242,138840,147165,121492,124854,135879,139689,131570,140489,110409,113444,120213,123553,,,,,,,,,,,,,,,,,,,,
69,Sierra Leone,,694,B R,222242,105374,98241,149615,97452,91213,123053,59683,54639,79638,53239,49962,99189,45691,43602,69977,44213,41251,,,,,,,,,,,,,,,,,,,,
70,Togo,,768,C R,84844,101583,137891,203379,255262,276844,42903,50727,69081,102877,129280,139298,41941,50856,68810,100502,125982,137546,,,,,,,,,,,,,,,,,,,,
71,Asia,,935,,48142261,46548225,49340815,53371224,65914319,75081125,26011875,25197522,26848671,29585231,38205140,43550416,22130386,21350703,22492144,23785993,27709179,31530709,,,,,,,,,,,,,,,,,,,,
72,Central Asia,,5500,,6630683,5890035,5183872,5238699,5262414,5393504,2972500,2635584,2315883,2408209,2488477,2596652,3658183,3254451,2867989,2830490,2773937,2796852,,,,,,,,,,,,,,,,,,,,
73,Kazakhstan,,398,B,3619200,3245250,2871300,3102962,3334623,3546778,1666164,1494009,1321855,1473441,1625026,1758182,1953036,1751241,1549445,1629521,1709597,1788596,,,,,,,,,,,,,,,,,,,,
74,Kyrgyzstan,,417,B,623083,510296,389558,312897,231511,204382,260416,213277,162815,129544,94348,82616,362667,297019,226743,183353,137163,121766,,,,,,,,,,,,,,,,,,,,
75,Tajikistan,,762,B,428900,348347,299266,280444,278152,275059,188128,151957,131420,121381,120124,118597,240772,196390,167846,159063,158028,156462,,,,,,,,,,,,,,,,,,,,
76,Turkmenistan,,795,B,306500,273565,218498,213051,197979,196386,134174,118851,94168,94406,90600,91523,172326,154714,124330,118645,107379,104863,,,,,,,,,,,,,,,,,,,,
77,Uzbekistan,,860,B,1653000,1512577,1405250,1329345,1220149,1170899,723618,657490,605625,589437,558379,545734,929382,855087,799625,739908,661770,625165,,,,,,,,,,,,,,,,,,,,
78,Eastern Asia,,906,,3959345,4658475,5393081,6229524,7061814,7596693,2005886,2266526,2551555,2931331,3318241,3576788,1953459,2391949,2841526,3298193,3743573,4019905,,,,,,,,,,,,,,,,,,,,
79,China,(5),156,C,376361,442198,508034,678947,849861,978046,191954,223018,254082,379920,505758,600136,184407,219180,253952,299027,344103,377910,,,,,,,,,,,,,,,,,,,,
80,"China, Hong Kong Special Administrative Region",(6),344,B,2218473,2443798,2669122,2721235,2779950,2838665,1124544,1175087,1225629,1185121,1147539,1119957,1093929,1268711,1443493,1536114,1632411,1718708,,,,,,,,,,,,,,,,,,,,
81,"China, Macao Special Administrative Region",(7),446,B,205047,224929,240791,279308,318506,342703,96379,103660,109391,130387,146407,155692,108668,121269,131400,148921,172099,187011,,,,,,,,,,,,,,,,,,,,
82,Democratic People's Republic of Korea,,408,I,34103,35143,36183,40097,44010,48458,17393,17562,17731,19749,21766,24110,16710,17581,18452,20348,22244,24348,,,,,,,,,,,,,,,,,,,,
83,Japan,,392,C,1075626,1381097,1686567,2012916,2134151,2043877,547986,672482,796977,924544,959860,919259,527640,708615,889590,1088372,1174291,1124618,,,,,,,,,,,,,,,,,,,,
84,Mongolia,,496,C,6718,7424,8206,11475,16061,17620,3419,3959,4564,7576,11880,12857,3299,3465,3642,3899,4181,4763,,,,,,,,,,,,,,,,,,,,
85,Republic of Korea,,410,C,43017,123886,244178,485546,919275,1327324,24211,70758,143181,284034,525031,744777,18806,53128,100997,201512,394244,582547,,,,,,,,,,,,,,,,,,,,
86,South-Eastern Asia,,920,,2876616,3700057,4926833,6522343,8661853,9867722,1511104,1916620,2504609,3343951,4497075,5118389,1365512,1783437,2422224,3178392,4164778,4749333,,,,,,,,,,,,,,,,,,,,
87,Brunei Darussalam,,96,B,73200,84748,96296,98441,100587,102733,41856,47832,53807,55265,56723,58181,31344,36916,42489,43176,43864,44552,,,,,,,,,,,,,,,,,,,,
88,Cambodia,,116,B,38375,92230,146085,114031,81977,73963,19084,45361,71638,57511,43385,39854,19291,46869,74447,56520,38592,34109,,,,,,,,,,,,,,,,,,,,
89,Indonesia,,360,B R,465612,378960,292307,289568,305416,328846,229885,191600,153315,165493,174864,189800,235727,187360,138992,124075,130552,139046,,,,,,,,,,,,,,,,,,,,
90,Lao People's Democratic Republic,,418,C R,22866,23526,21948,20371,21185,22244,11806,12199,11564,10930,11367,11936,11060,11327,10384,9441,9818,10308,,,,,,,,,,,,,,,,,,,,
91,Malaysia,(8),458,C R,695920,937368,1277223,1722344,2406011,2514243,405808,534964,712912,995607,1437206,1529630,290112,402404,564311,726737,968805,984613,,,,,,,,,,,,,,,,,,,,
92,Myanmar,,104,C,133545,113663,98011,83025,76414,73308,72310,61489,52150,44506,41574,40177,61235,52174,45861,38519,34840,33131,,,,,,,,,,,,,,,,,,,,
93,Philippines,,608,C R,154071,207345,318095,257468,208599,211862,81347,107524,161904,133023,107933,109783,72724,99821,156191,124445,100666,102079,,,,,,,,,,,,,,,,,,,,
94,Singapore,,702,B,727262,991492,1351691,1710594,2164794,2543638,345842,456411,601671,758762,956856,1122986,381420,535081,750020,951832,1207938,1420652,,,,,,,,,,,,,,,,,,,,
95,Thailand,,764,B R,528693,809720,1257821,2163447,3224131,3913258,283486,426290,647728,1086166,1624755,1967491,245207,383430,610093,1077281,1599376,1945767,,,,,,,,,,,,,,,,,,,,
96,Timor-Leste,,626,B,8954,9743,10602,11286,10983,10834,4450,4763,5095,5582,6441,6383,4504,4980,5507,5704,4542,4451,,,,,,,,,,,,,,,,,,,,
97,Viet Nam,,704,C R,28118,51262,56754,51768,61756,72793,15230,28187,32825,31106,35971,42168,12888,23075,23929,20662,25785,30625,,,,,,,,,,,,,,,,,,,,
98,Southern Asia,,5501,,19436343,15343019,15278020,13722011,14326591,14103682,10601061,8382298,8414610,7537840,7953646,7699380,8835282,6960721,6863410,6184171,6372945,6404302,,,,,,,,,,,,,,,,,,,,
99,Afghanistan,,4,B,57686,71522,75917,87300,102246,382365,32558,39105,42848,49274,57709,193445,25128,32417,33069,38026,44537,188920,,,,,,,,,,,,,,,,,,,,
100,Bangladesh,,50,B R,881617,934735,987853,1166700,1345546,1422805,759452,805196,850941,1007698,1164455,1233206,122165,129539,136912,159002,181091,189599,,,,,,,,,,,,,,,,,,,,
101,Bhutan,,64,B,23807,27972,32137,40279,48420,51106,19409,22804,26200,32742,39283,41441,4398,5168,5937,7537,9137,9665,,,,,,,,,,,,,,,,,,,,
102,India,,356,B R,7493204,6952238,6411272,5923642,5436012,5240960,3914396,3608978,3303560,3045693,2787826,2684680,3578808,3343260,3107712,2877949,2648186,2556280,,,,,,,,,,,,,,,,,,,,
103,Iran (Islamic Republic of),,364,B R,4291601,2937668,2803805,2568930,2761561,2726420,2456700,1705972,1662264,1410319,1571723,1445236,1834901,1231696,1141541,1158611,1189838,1281184,,,,,,,,,,,,,,,,,,,,
104,Maldives,,462,C R,8689,18510,27092,45045,73604,94086,4777,9243,14907,27079,47995,66140,3912,9267,12185,17966,25609,27946,,,,,,,,,,,,,,,,,,,,
105,Nepal,,524,B R,429974,690225,717900,679457,578657,518278,125966,217088,241959,235203,189518,160851,304008,473137,475941,444254,389139,357427,,,,,,,,,,,,,,,,,,,,
106,Pakistan,,586,B R,6208204,3669308,4181912,3171132,3941586,3628956,3264380,1951223,2249960,1708514,2074443,1854136,2943824,1718085,1931952,1462618,1867143,1774820,,,,,,,,,,,,,,,,,,,,
107,Sri Lanka,,144,B R,41561,40841,40132,39526,38959,38706,23423,22689,21971,21318,20694,20245,18138,18152,18161,18208,18265,18461,,,,,,,,,,,,,,,,,,,,
108,Western Asia,,922,,15239274,16956639,18559009,21658647,30601647,38119524,8921324,9996494,11062014,13363900,19947701,24559207,6317950,6960145,7496995,8294747,10653946,13560317,,,,,,,,,,,,,,,,,,,,
109,Armenia,,51,B R,658789,693999,657900,469119,221560,191199,270535,284995,270170,191401,90345,77436,388254,409004,387730,277718,131215,113763,,,,,,,,,,,,,,,,,,,,
110,Azerbaijan,(9),31,B R,360600,344070,327540,302220,276901,264241,157856,149509,141161,135336,129512,126600,202744,194561,186379,166884,147389,137641,,,,,,,,,,,,,,,,,,,,
111,Bahrain,,48,C,173212,205979,239361,404018,657856,704137,122730,144227,165344,288614,475905,508966,50482,61752,74017,115404,181951,195171,,,,,,,,,,,,,,,,,,,,
112,Cyprus,(10),196,B,43805,61941,80076,117165,187923,196167,20463,27604,34745,50421,82284,86980,23342,34337,45331,66744,105639,109187,,,,,,,,,,,,,,,,,,,,
113,Georgia,(11),268,B,338300,278450,218600,199805,182202,168802,148094,121152,94211,86123,78548,72861,190206,157298,124389,113682,103654,95941,,,,,,,,,,,,,,,,,,,,
114,Iraq,,368,C R,83638,199460,210525,132915,117389,353881,55751,114821,120464,80883,72965,207133,27887,84639,90061,52032,44424,146748,,,,,,,,,,,,,,,,,,,,
115,Israel,,376,B R,1632704,1792185,1851309,1889503,1950615,2011727,770777,830330,853712,867805,890352,912899,861927,961855,997597,1021698,1060263,1098828,,,,,,,,,,,,,,,,,,,,
116,Jordan,,400,C R,1146349,1537097,1927845,2325414,2722983,3112026,586473,784725,982977,1183645,1384313,1567177,559876,752372,944868,1141769,1338670,1544849,,,,,,,,,,,,,,,,,,,,
117,Kuwait,,414,C R,1074391,921954,1127640,1333327,1871537,2866136,654878,591452,761512,918580,1309814,1888220,419513,330502,366128,414747,561723,977916,,,,,,,,,,,,,,,,,,,,
118,Lebanon,,422,B R,523693,608303,692913,756784,820655,1997776,267922,310613,353305,390331,427358,959973,255771,297690,339608,366453,393297,1037803,,,,,,,,,,,,,,,,,,,,
119,Oman,,512,C,304000,539643,623608,666160,816221,1844978,242477,417444,488389,527842,658746,1495360,61523,122199,135219,138318,157475,349618,,,,,,,,,,,,,,,,,,,,
120,Qatar,,634,C,309753,361673,359697,646026,1456413,1687640,225932,269972,274242,498428,1206571,1416361,83821,91701,85455,147598,249842,271279,,,,,,,,,,,,,,,,,,,,
